,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
221,Dewayne Dedmon,27,SAS,C,76,37,1330,.622,3.2,1.000,.722,.178,.058,.042,.000,.622,.706,.391,.400,.455,,.702,,.297,65,,,0,0,,dedmode01
222,Willy Hernangómez,22,NYK,C,72,22,1324,.529,5.0,.968,.606,.219,.077,.060,.032,.538,.621,.431,.417,.286,.267,.607,1.000,.097,39,.400,.167,0,0,ROY-5,hernawi01
223,Tyson Chandler,34,PHO,C,47,46,1298,.671,1.4,1.000,.895,.096,.004,.004,.000,.671,.711,.364,.000,.000,,.621,,.368,74,,,0,0,,chandty01
224,Kenneth Faried,27,DEN,PF,61,34,1296,.548,3.9,.986,.639,.281,.038,.026,.014,.556,.654,.393,.438,.091,.000,.627,,.142,57,.000,,2,0,,farieke01
225,Manu Ginóbili,39,SAS,SG,69,0,1291,.390,16.5,.483,.214,.123,.091,.057,.517,.387,.521,.296,.350,.120,.392,.451,.787,.005,2,.159,.306,4,0,,ginobma01
226,Marreese Speights,29,LAC,C,82,2,1286,.445,16.1,.495,.245,.126,.055,.068,.505,.520,.634,.420,.333,.459,.372,.667,.981,.036,15,.112,.452,3,0,,speigma01
227,Randy Foye,33,BRK,SG,69,40,1284,.363,18.6,.375,.182,.105,.012,.077,.625,.418,.542,.324,.250,.280,.330,.255,.761,.003,1,.163,.424,5,0,,foyera01
228,Boris Diaw,34,UTA,PF,73,33,1283,.446,11.6,.752,.373,.156,.076,.147,.248,.512,.664,.431,.440,.250,.247,.373,.950,.003,1,.259,.429,0,0,,diawbo01
229,Corey Brewer,30,2TM,SF,82,11,1281,.422,10.7,.661,.408,.193,.040,.020,.339,.522,.613,.328,.571,.429,.229,.600,.963,.080,26,.619,.260,4,0,,breweco01
229,Corey Brewer,30,HOU,SF,58,8,923,.414,12.6,.586,.383,.167,.022,.013,.414,.541,.598,.395,.400,1.000,.234,.694,1.000,.070,14,.638,.267,3,0,,breweco01
229,Corey Brewer,30,LAL,SF,24,3,358,.438,8.9,.802,.455,.240,.074,.033,.198,.495,.636,.241,.667,.000,.208,.458,.800,.099,12,.542,.231,1,0,,breweco01
230,Terrence Jones,25,2TM,PF,54,12,1270,.470,8.5,.848,.396,.307,.055,.085,.152,.508,.677,.364,.370,.357,.253,.642,1.000,.085,41,.093,.000,0,0,,joneste01
230,Terrence Jones,25,NOP,PF,51,12,1264,.472,8.6,.847,.399,.305,.055,.084,.153,.512,.677,.369,.370,.366,.253,.642,1.000,.086,41,.093,.000,0,0,,joneste01
230,Terrence Jones,25,MIL,PF,3,0,6,.000,8.4,1.000,.000,.667,.000,.333,.000,.000,,.000,,.000,,,,.000,0,,,0,0,,joneste01
231,Zaza Pachulia,32,GSW,C,70,70,1268,.534,4.8,.993,.664,.150,.085,.094,.007,.538,.618,.391,.308,.414,.000,.805,,.033,10,.000,,1,0,,pachuza01
232,Noah Vonleh,21,POR,PF,74,41,1265,.481,7.1,.926,.515,.211,.033,.167,.074,.492,.561,.386,.222,.467,.350,.585,.857,.181,43,.250,.000,0,0,,vonleno01
233,Terry Rozier,22,BOS,PG,74,0,1263,.367,15.6,.564,.275,.090,.092,.107,.436,.405,.469,.243,.368,.409,.318,.330,.807,.007,3,.212,.289,2,0,,roziete01
234,Malcolm Delaney,27,ATL,PG,73,2,1248,.374,17.6,.716,.121,.067,.070,.459,.284,.428,.426,.269,.296,.472,.236,.235,.885,.005,2,.309,.147,2,0,,delanma01
235,Mike Muscala,25,ATL,C,70,3,1237,.504,14.0,.674,.291,.077,.131,.175,.326,.546,.684,.423,.477,.424,.418,.847,1.000,.045,13,.309,.441,1,0,,muscami01
236,Caris LeVert,22,BRK,SF,57,26,1237,.450,15.2,.516,.284,.097,.071,.066,.484,.571,.676,.351,.556,.440,.321,.348,.746,.050,19,.223,.390,1,0,,leverca01
237,Jonas Jerebko,29,BOS,PF,78,6,1232,.435,15.4,.504,.248,.164,.031,.061,.496,.523,.646,.349,.250,.625,.346,.580,1.000,.023,3,.408,.358,2,0,,jerebjo01
238,Kyle O'Quinn,26,NYK,C,79,8,1229,.521,9.0,.959,.470,.119,.114,.257,.041,.538,.660,.469,.404,.406,.118,.662,1.000,.092,36,.118,.500,2,0,,oquinky01
239,Dante Exum,21,UTA,PG,66,26,1228,.427,12.4,.590,.435,.094,.033,.030,.410,.519,.551,.471,.417,.273,.295,.315,.977,.069,20,.503,.253,2,0,,exumda01
240,Justin Anderson,23,2TM,SF,75,10,1228,.424,14.1,.558,.319,.128,.057,.050,.442,.522,.707,.339,.280,.136,.299,.539,.948,.096,37,.227,.341,2,0,,anderju01
240,Justin Anderson,23,DAL,SF,51,2,710,.401,14.1,.560,.296,.152,.058,.051,.440,.477,.671,.333,.250,.071,.303,.459,.973,.072,17,.270,.364,1,0,,anderju01
240,Justin Anderson,23,PHI,SF,24,8,518,.463,14.1,.556,.358,.086,.056,.049,.444,.600,.759,.357,.333,.250,.292,.648,.905,.136,20,.153,.273,1,0,,anderju01
241,Meyers Leonard,24,POR,PF,74,12,1222,.386,18.9,.437,.090,.103,.085,.159,.563,.436,.706,.385,.313,.383,.347,.764,.986,.040,12,.117,.480,1,0,,leoname01
242,Shelvin Mack,26,UTA,PG,55,9,1205,.446,13.3,.685,.239,.184,.165,.100,.315,.510,.637,.443,.444,.421,.308,.316,.649,.000,0,.242,.241,0,0,,macksh01
243,Nenê,34,HOU,C,67,8,1198,.617,5.5,.977,.637,.126,.083,.131,.023,.624,.723,.500,.364,.423,.333,.839,1.000,.242,86,.000,,0,0,,hilarne01
244,Yogi Ferrell,23,2TM,PG,46,29,1197,.406,17.5,.553,.190,.094,.089,.178,.447,.422,.533,.378,.400,.343,.386,.207,.559,.000,0,.131,.348,1,0,ROY-8,ferreyo01
244,Yogi Ferrell,23,BRK,PG,10,0,151,.367,18.6,.449,.163,.041,.061,.184,.551,.455,.625,.500,.333,.333,.296,.200,.500,.000,0,.111,.333,0,0,,ferreyo01
244,Yogi Ferrell,23,DAL,PG,36,29,1046,.412,16.4,.568,.194,.101,.093,.177,.432,.418,.522,.371,.406,.344,.403,.207,.567,.000,0,.134,.350,1,0,,ferreyo01
245,Richaun Holmes,23,PHI,C,57,17,1193,.558,8.6,.813,.483,.184,.070,.075,.187,.606,.734,.421,.379,.452,.351,.798,1.000,.245,92,.195,.467,1,0,,holmeri01
246,Timothé Luwawu-Cabarrot,21,PHI,SF,69,19,1190,.402,13.0,.554,.393,.108,.028,.022,.446,.475,.606,.179,.100,.125,.311,.653,.980,.019,4,.317,.392,0,0,,luwawti01
247,Nemanja Bjelica,28,MIN,PF,65,1,1190,.424,14.8,.503,.264,.177,.034,.028,.497,.531,.638,.444,.250,.400,.316,.526,.964,.020,7,.209,.378,0,0,,bjeline01
248,J.R. Smith,31,CLE,SG,41,35,1187,.346,22.1,.239,.067,.034,.039,.101,.761,.329,.625,.000,.357,.222,.351,.321,.958,.025,8,.284,.455,1,0,,smithjr01
249,Derrick Favors,25,UTA,PF,50,39,1186,.487,8.4,.976,.391,.201,.177,.206,.024,.491,.607,.476,.432,.337,.300,.795,1.000,.144,52,.300,.333,0,0,,favorde01
250,Troy Daniels,25,MEM,SG,67,3,1183,.374,22.7,.283,.044,.026,.048,.166,.717,.336,.318,.385,.250,.354,.389,.681,.833,.000,0,.135,.542,2,0,,danietr01
251,Justin Hamilton,26,BRK,C,64,7,1177,.459,14.5,.525,.264,.164,.063,.032,.475,.598,.740,.484,.417,.417,.306,.739,.982,.040,14,.389,.300,0,0,,hamilju01
252,Ben McLemore,23,SAC,SG,61,27,1176,.430,15.9,.594,.210,.115,.060,.212,.406,.462,.648,.313,.240,.416,.382,.696,.908,.048,18,.306,.442,1,0,,mclembe01
253,Aron Baynes,30,DET,C,75,2,1163,.513,5.6,1.000,.513,.251,.136,.100,.000,.513,.566,.429,.526,.429,,.734,,.115,31,,,0,0,,baynear01
254,Trey Lyles,21,UTA,PF,71,4,1158,.362,15.6,.535,.182,.180,.080,.093,.465,.400,.538,.329,.286,.366,.319,.404,.954,.021,9,.299,.361,1,0,,lylestr01
255,Jeremy Lamb,24,CHO,SG,62,5,1143,.460,13.8,.703,.230,.161,.165,.147,.297,.536,.699,.481,.481,.403,.281,.357,.756,.033,14,.205,.133,2,0,,lambje01
256,Brandon Knight,25,PHO,SG,54,5,1140,.398,13.7,.735,.246,.158,.118,.211,.265,.425,.558,.325,.387,.369,.324,.171,.511,.011,6,.245,.324,1,0,,knighbr03
257,Joe Harris,25,BRK,SG,52,11,1138,.425,17.3,.390,.249,.066,.017,.058,.610,.489,.556,.417,.500,.286,.385,.710,.929,.008,3,.244,.463,0,0,,harrijo01
258,Ian Clark,25,GSW,SG,77,0,1137,.487,15.0,.624,.236,.127,.139,.122,.376,.556,.676,.436,.467,.547,.374,.667,.967,.000,0,.294,.333,3,0,,clarkia01
259,Jahlil Okafor,21,PHI,C,50,33,1134,.514,5.9,1.000,.408,.374,.161,.055,.000,.514,.698,.409,.382,.269,,.426,,.047,22,,,0,0,,okafoja01
260,Mirza Teletović,31,MIL,PF,70,2,1133,.373,21.0,.270,.115,.055,.045,.055,.730,.460,.542,.435,.316,.435,.341,.750,.971,.012,4,.200,.344,2,0,,teletmi01
261,Tyler Ulis,21,PHO,PG,61,15,1123,.421,15.4,.819,.101,.151,.275,.295,.181,.455,.409,.485,.500,.411,.266,.117,.476,.000,0,.076,.000,5,0,,ulisty01
262,John Henson,26,MIL,C,58,39,1123,.515,4.9,.997,.511,.356,.052,.081,.003,.516,.633,.445,.250,.240,.000,.723,,.146,40,.000,,0,0,,hensojo01
263,Timofey Mozgov,30,LAL,C,54,52,1104,.515,6.9,.997,.439,.259,.125,.174,.003,.517,.660,.353,.439,.456,.000,.746,,.186,52,.000,,0,0,,mozgoti01
264,Tarik Black,25,LAL,C,67,16,1091,.510,3.3,.993,.667,.262,.037,.024,.007,.510,.622,.286,.364,.143,.500,.685,.000,.190,47,.000,,1,0,,blackta01
265,Lucas Nogueira,24,TOR,C,57,6,1088,.660,4.2,.923,.776,.103,.013,.032,.077,.694,.760,.375,.000,.400,.250,.780,1.000,.410,59,.167,.500,2,0,,noguelu01
266,Devin Harris,33,DAL,PG,65,0,1087,.399,16.2,.481,.270,.109,.012,.091,.519,.476,.565,.297,.500,.419,.328,.474,.828,.000,0,.209,.351,5,0,,harride01
267,Patrick McCaw,21,GSW,SG,71,20,1074,.433,15.4,.498,.290,.078,.057,.073,.502,.533,.690,.421,.286,.222,.333,.723,.927,.045,10,.350,.326,0,0,,mccawpa01
268,Jason Smith,30,WAS,C,74,3,1068,.529,15.8,.763,.173,.076,.097,.416,.237,.546,.667,.400,.531,.526,.474,.854,1.000,.043,11,.449,.457,0,0,,smithja02
269,Luke Babbitt,27,MIA,SF,68,55,1065,.402,21.7,.253,.043,.032,.100,.078,.747,.366,.167,.222,.429,.455,.414,.615,.966,.000,0,.305,.422,0,0,,babbilu01
270,Montrezl Harrell,23,HOU,C,58,14,1064,.652,3.8,.980,.687,.197,.032,.064,.020,.663,.751,.515,.091,.455,.143,.790,.000,.319,98,.571,.250,0,0,,harremo01
271,Álex Abrines,23,OKC,SG,68,6,1055,.393,20.6,.276,.120,.047,.044,.065,.724,.426,.488,.438,.333,.364,.381,.600,.968,.015,5,.231,.404,2,0,,abrinal01
272,Nerlens Noel,22,2TM,C,51,19,1047,.595,4.9,.997,.625,.162,.094,.120,.003,.597,.710,.520,.241,.378,.000,.745,,.307,85,.000,,0,0,,noelne01
272,Nerlens Noel,22,PHI,C,29,7,564,.611,4.8,.994,.634,.166,.080,.120,.006,.615,.721,.483,.214,.476,.000,.729,,.320,52,.000,,0,0,,noelne01
272,Nerlens Noel,22,DAL,C,22,12,483,.575,5.0,1.000,.612,.157,.112,.119,.000,.575,.695,.571,.267,.250,,.766,,.291,33,,,0,0,,noelne01
273,Cristiano Felício,24,CHI,C,66,0,1040,.579,4.2,1.000,.729,.118,.032,.127,.000,.579,.658,.423,.429,.286,,.648,,.222,46,,,0,0,,feliccr01
274,Willie Reed,26,MIA,C,71,5,1031,.568,4.4,.986,.614,.246,.084,.039,.014,.573,.703,.386,.333,.273,.250,.634,1.000,.242,63,.000,,0,0,,reedwi02
275,Brandon Rush,31,MIN,SG,47,33,1030,.374,18.2,.390,.176,.048,.043,.128,.610,.356,.424,.222,.250,.333,.386,.808,.977,.037,7,.658,.427,0,0,,rushbr01
276,Jerian Grant,24,CHI,PG,63,28,1028,.425,16.7,.555,.179,.096,.113,.166,.445,.473,.630,.345,.441,.400,.366,.278,.796,.010,3,.246,.455,1,0,,grantje02
277,Kyle Anderson,23,SAS,SF,72,14,1020,.445,11.2,.809,.344,.196,.105,.163,.191,.462,.611,.439,.273,.294,.375,.577,1.000,.019,4,.725,.414,1,0,,anderky01
278,Mindaugas Kuzminskas,27,NYK,SF,68,5,1016,.428,13.2,.545,.371,.138,.014,.019,.455,.517,.599,.373,.200,.286,.321,.625,.907,.079,28,.220,.405,0,0,,kuzmimi01
279,Joakim Noah,31,NYK,C,46,46,1015,.490,2.0,.995,.881,.089,.000,.015,.005,.493,.534,.222,,.000,.000,.495,,.084,16,.000,,0,0,,noahjo01
280,Rudy Gay,30,SAC,SF,30,30,1013,.455,13.1,.744,.233,.210,.140,.161,.256,.483,.689,.430,.387,.338,.372,.396,.881,.097,41,.186,.381,3,0,,gayru01
281,C.J. Watson,32,ORL,PG,62,9,1012,.387,17.1,.577,.185,.056,.089,.246,.423,.448,.522,.429,.409,.410,.305,.484,.656,.000,0,.267,.179,1,0,,watsocj01
282,Bobby Portis,21,CHI,PF,64,13,1000,.488,13.1,.744,.267,.160,.115,.203,.256,.541,.690,.550,.302,.474,.333,.642,1.000,.043,16,.458,.364,1,0,,portibo01
283,Taurean Prince,22,ATL,SF,59,10,981,.400,12.4,.642,.361,.133,.095,.056,.358,.443,.534,.342,.259,.375,.324,.630,.879,.032,7,.431,.341,1,0,,princta02
284,Joffrey Lauvergne,25,2TM,C,70,1,980,.440,10.4,.708,.387,.205,.036,.077,.292,.483,.600,.348,.583,.231,.337,.696,1.000,.086,27,.286,.429,1,0,,lauvejo01
284,Joffrey Lauvergne,25,OKC,PF,50,0,739,.455,11.4,.680,.365,.205,.033,.078,.320,.506,.607,.380,.625,.316,.346,.690,1.000,.090,22,.282,.455,1,0,,lauvejo01
284,Joffrey Lauvergne,25,CHI,C,20,1,241,.402,9.4,.783,.446,.207,.043,.076,.217,.431,.585,.263,.500,.000,.300,.710,1.000,.076,5,.300,.333,0,0,,lauvejo01
285,Denzel Valentine,23,CHI,SG,57,0,976,.354,20.7,.278,.076,.090,.042,.069,.722,.363,.545,.231,.417,.300,.351,.517,.904,.000,0,.303,.444,1,0,,valende01
286,Semaj Christon,24,OKC,PG,64,1,973,.345,14.1,.717,.283,.148,.148,.143,.283,.406,.492,.364,.364,.313,.190,.308,.833,.009,1,.254,.188,8,1,,chrisse01
287,Lance Thomas,28,NYK,PF,46,15,968,.398,15.1,.652,.217,.152,.061,.221,.348,.371,.415,.351,.333,.352,.447,.441,.974,.008,2,.471,.450,0,0,,thomala01
288,Leandro Barbosa,34,PHO,SG,67,0,963,.439,13.1,.750,.321,.120,.082,.230,.250,.466,.595,.319,.375,.389,.357,.321,.829,.000,0,.367,.361,0,0,,barbole01
289,Mario Hezonja,21,ORL,SF,65,2,960,.355,17.5,.564,.182,.097,.042,.242,.436,.398,.517,.375,.357,.325,.299,.500,.837,.036,9,.222,.250,4,0,,hezonma01
290,Michael Beasley,28,MIL,PF,56,6,935,.532,10.2,.894,.303,.246,.167,.175,.106,.545,.699,.490,.456,.451,.419,.545,1.000,.034,13,.488,.333,0,0,,beaslmi01
291,Al Jefferson,32,IND,C,66,1,931,.499,7.6,.998,.289,.382,.214,.108,.002,.500,.662,.522,.327,.353,.000,.536,,.021,10,.000,,0,0,,jeffeal01
292,Salah Mejri,30,DAL,C,73,11,905,.642,3.9,.978,.737,.117,.036,.088,.022,.649,.733,.500,.800,.083,.333,.701,1.000,.299,39,.000,,0,0,,mejrisa01
293,Aaron Brooks,32,IND,PG,65,0,894,.403,16.7,.573,.190,.153,.113,.117,.427,.424,.421,.413,.529,.343,.375,.096,.583,.000,0,.117,.400,6,0,,brookaa01
294,Khris Middleton,25,MIL,SF,29,23,889,.450,15.1,.688,.126,.201,.186,.174,.312,.459,.643,.403,.419,.431,.433,.495,.889,.003,1,.279,.414,0,0,,middlkh01
295,Jeremy Lin,28,BRK,PG,36,33,883,.438,15.0,.610,.235,.153,.098,.125,.390,.480,.553,.377,.538,.420,.372,.239,.621,.000,0,.090,.286,2,0,,linje01
296,Lavoy Allen,27,IND,PF,61,5,871,.458,8.9,.994,.357,.256,.060,.321,.006,.461,.583,.465,.200,.370,.000,.740,,.030,4,.000,,0,0,,allenla01
297,Pascal Siakam,22,TOR,PF,55,38,859,.502,7.0,.966,.463,.249,.112,.141,.034,.515,.600,.490,.304,.448,.143,.667,1.000,.093,17,.571,.000,0,0,,siakapa01
298,Ron Baker,23,NYK,SG,52,13,857,.378,14.3,.604,.346,.106,.041,.120,.396,.450,.547,.130,.333,.462,.267,.373,.870,.005,1,.337,.241,3,0,,bakerro01
299,David West,36,GSW,C,68,0,854,.536,11.1,.968,.274,.210,.103,.381,.032,.541,.667,.509,.385,.510,.375,.795,1.000,.044,11,.250,.500,1,0,,westda01
300,Michael Carter-Williams,25,CHI,PG,45,19,846,.366,11.1,.791,.265,.294,.144,.088,.209,.401,.519,.378,.295,.296,.234,.423,.933,.020,6,.406,.308,0,0,,cartemi01
301,Paul Zipser,22,CHI,SF,44,18,843,.398,16.5,.552,.222,.095,.050,.186,.448,.451,.612,.333,.364,.341,.333,.818,1.000,.018,4,.414,.390,2,0,,zipsepa01
302,Juancho Hernangómez,21,DEN,PF,62,9,842,.451,14.1,.496,.353,.098,.018,.031,.504,.495,.595,.318,.000,.143,.407,.618,1.000,.080,15,.257,.517,0,0,,hernaju01
303,Mike Dunleavy,36,2TM,SF,53,2,841,.423,18.3,.391,.209,.032,.027,.123,.609,.465,.652,.000,.333,.296,.396,.775,.962,.005,1,.306,.488,0,0,,dunlemi02
303,Mike Dunleavy,36,CLE,SF,23,2,366,.400,18.0,.367,.211,.067,.022,.067,.633,.485,.737,.000,.500,.167,.351,.750,.900,.011,1,.368,.429,0,0,,dunlemi02
303,Mike Dunleavy,36,ATL,SF,30,0,475,.438,18.6,.408,.208,.008,.031,.162,.592,.453,.593,.000,.250,.333,.429,.792,1.000,.000,0,.260,.550,0,0,,dunlemi02
304,Ramon Sessions,30,CHO,PG,50,1,811,.380,11.2,.764,.312,.240,.122,.091,.236,.393,.512,.333,.281,.292,.339,.392,.857,.015,4,.210,.462,0,0,,sessira01
305,Wesley Johnson,29,LAC,SF,68,3,810,.365,19.5,.410,.150,.035,.040,.185,.590,.537,.633,.714,.500,.432,.246,.773,1.000,.050,9,.364,.302,1,0,,johnswe01
306,Dāvis Bertāns,24,SAS,PF,67,6,808,.440,20.4,.261,.150,.030,.026,.056,.739,.557,.714,.286,.167,.462,.399,.765,.957,.073,16,.202,.486,1,0,,bertada01
307,Derrick Williams,25,2TM,PF,50,11,804,.443,13.7,.602,.369,.053,.057,.119,.398,.531,.589,.308,.500,.483,.309,.705,.967,.078,18,.423,.317,1,0,,willide02
307,Derrick Williams,25,MIA,PF,25,11,377,.394,13.2,.672,.365,.058,.073,.168,.328,.489,.520,.250,.700,.435,.200,.667,.889,.036,4,.378,.235,1,0,,willide02
307,Derrick Williams,25,CLE,PF,25,0,427,.505,14.1,.514,.374,.047,.037,.056,.486,.600,.675,.400,.000,.667,.404,.758,1.000,.131,14,.462,.375,0,0,,willide02
308,Spencer Hawes,28,2TM,PF,54,1,797,.484,13.0,.708,.336,.170,.119,.083,.292,.556,.688,.511,.424,.304,.309,.817,1.000,.054,11,.136,.455,0,0,,hawessp01
308,Spencer Hawes,28,CHO,PF,35,1,626,.477,11.2,.748,.362,.170,.119,.096,.252,.540,.646,.541,.462,.238,.291,.818,1.000,.060,9,.127,.429,0,0,,hawessp01
308,Spencer Hawes,28,MIL,PF,19,0,171,.508,14.9,.559,.237,.169,.119,.034,.441,.636,.929,.400,.286,1.000,.346,.810,1.000,.034,2,.154,.500,0,0,,hawessp01
309,Ed Davis,27,POR,PF,46,12,789,.528,2.5,1.000,.718,.275,.007,.000,.000,.528,.578,.385,1.000,,,.667,,.176,19,,,0,0,,davised01
310,Tyreke Evans,27,2TM,SF,40,6,788,.405,12.4,.681,.395,.154,.024,.108,.319,.429,.514,.316,.333,.300,.356,.204,.548,.005,2,.051,.333,1,0,,evansty01
310,Tyreke Evans,27,NOP,SF,26,0,474,.401,12.0,.692,.445,.123,.013,.110,.308,.446,.535,.214,.333,.360,.300,.186,.476,.004,1,.029,.000,0,0,,evansty01
310,Tyreke Evans,27,SAC,SF,14,6,314,.413,12.9,.664,.315,.203,.042,.105,.336,.400,.467,.414,.333,.200,.438,.237,.619,.007,1,.083,.500,1,0,,evansty01
311,Joel Embiid,22,PHI,C,31,31,786,.466,11.2,.772,.324,.191,.170,.086,.228,.495,.640,.366,.370,.486,.367,.530,.972,.065,25,.020,.000,0,0,ROY-3,embiijo01
312,DeAndre Liggins,28,2TM,SG,62,19,777,.387,9.3,.676,.451,.092,.028,.106,.324,.396,.531,.077,.000,.200,.370,.447,.941,.007,0,.587,.444,1,0,,liggide01
312,DeAndre Liggins,28,CLE,SG,61,19,752,.382,11.8,.669,.441,.088,.029,.110,.331,.385,.517,.083,.000,.200,.378,.457,.941,.007,0,.600,.444,1,0,,liggide01
312,DeAndre Liggins,28,DAL,SG,1,0,25,.500,6.7,.833,.667,.167,.000,.000,.167,.600,.750,.000,,,.000,.333,,.000,0,.000,,0,0,,liggide01
313,Tyus Jones,20,MIN,PG,60,0,774,.414,14.9,.597,.227,.171,.088,.110,.403,.454,.537,.452,.500,.250,.356,.347,.885,.000,0,.315,.348,1,0,,jonesty01
314,J.J. Barea,32,DAL,PG,35,6,771,.414,16.3,.569,.146,.169,.125,.128,.431,.456,.540,.414,.442,.432,.358,.180,.396,.000,0,.068,.300,0,0,,bareajo01
315,Hollis Thompson,25,2TM,SG,40,9,752,.385,15.9,.525,.235,.120,.075,.095,.475,.429,.553,.375,.400,.211,.337,.733,.969,.010,2,.389,.351,0,0,,thompho01
315,Hollis Thompson,25,PHI,SG,31,1,561,.415,15.4,.553,.245,.113,.088,.107,.447,.455,.615,.333,.429,.235,.366,.750,1.000,.013,2,.338,.417,0,0,,thompho01
315,Hollis Thompson,25,NOP,SG,9,8,191,.268,16.4,.415,.195,.146,.024,.049,.585,.294,.250,.500,.000,.000,.250,.600,.833,.000,0,.542,.231,0,0,,thompho01
316,JaVale McGee,29,GSW,C,77,10,739,.652,2.5,.991,.777,.188,.019,.003,.009,.658,.730,.400,.500,.000,.000,.769,,.417,121,.000,,1,0,,mcgeeja01
317,Jodie Meeks,29,ORL,SG,36,10,738,.402,18.2,.465,.148,.074,.105,.137,.535,.395,.526,.421,.259,.343,.409,.766,.929,.008,2,.139,.474,1,0,,meeksjo01
318,Tomáš Satoranský,25,WAS,SG,57,3,719,.415,11.5,.748,.320,.218,.122,.082,.252,.473,.468,.500,.444,.500,.243,.404,1.000,.041,3,.297,.364,1,0,,satorto01
319,Anthony Morrow,31,2TM,SG,49,7,714,.389,17.6,.472,.063,.155,.151,.099,.528,.479,.563,.538,.395,.480,.308,.596,.976,.000,0,.338,.267,0,0,,morroan01
319,Anthony Morrow,31,OKC,SG,40,7,627,.386,18.1,.466,.063,.152,.143,.103,.534,.490,.571,.588,.344,.522,.294,.608,.971,.000,0,.303,.222,0,0,,morroan01
319,Anthony Morrow,31,CHI,SG,9,0,87,.414,17.1,.517,.069,.172,.207,.069,.483,.400,.500,.200,.667,.000,.429,.500,1.000,.000,0,.643,.444,0,0,,morroan01
320,Alan Williams,24,PHO,C,47,0,708,.517,4.7,.996,.498,.408,.086,.004,.004,.519,.609,.431,.435,.000,.000,.725,,.011,3,.000,,1,0,,willial03
321,Trey Burke,24,WAS,PG,57,0,703,.455,16.1,.725,.137,.086,.184,.314,.275,.459,.514,.455,.489,.425,.443,.212,.806,.000,0,.171,.667,0,0,,burketr01
322,Rodney Stuckey,30,IND,PG,39,0,696,.373,14.4,.754,.213,.131,.168,.242,.246,.391,.500,.313,.463,.288,.317,.181,.789,.000,0,.333,.350,2,0,,stuckro01
323,Kris Humphries,31,ATL,PF,56,4,689,.407,11.9,.748,.374,.079,.168,.131,.252,.425,.538,.059,.333,.429,.352,.676,1.000,.089,14,.204,.364,0,0,,humphkr01
324,Roy Hibbert,30,2TM,C,48,13,682,.544,5.9,1.000,.395,.313,.116,.177,.000,.544,.690,.435,.529,.423,,.650,,.129,18,,,0,0,,hibbero01
324,Roy Hibbert,30,CHO,C,42,13,671,.542,7.4,1.000,.389,.313,.118,.181,.000,.542,.696,.422,.529,.423,,.654,,.132,18,,,0,0,,hibbero01
324,Roy Hibbert,30,DEN,C,6,0,11,.667,4.4,1.000,.667,.333,.000,.000,.000,.667,.500,1.000,,,,.500,,.000,0,,,0,0,,hibbero01
325,Chandler Parsons,28,MEM,SF,34,34,675,.338,15.0,.581,.288,.059,.131,.104,.419,.388,.578,.000,.345,.130,.269,.660,.800,.014,3,.161,.467,0,0,,parsoch01
326,Alec Burks,25,UTA,SG,42,0,653,.399,12.9,.694,.270,.185,.117,.121,.306,.430,.388,.478,.552,.333,.329,.311,.800,.028,4,.368,.393,0,0,,burksal01
327,Omri Casspi,28,3TM,PF,36,2,643,.470,10.1,.738,.433,.287,.018,.006,.262,.512,.620,.383,.000,.000,.349,.726,1.000,.043,6,.209,.333,0,0,,casspom01
327,Omri Casspi,28,SAC,PF,22,2,397,.453,8.8,.752,.453,.274,.017,.009,.248,.477,.604,.313,.000,.000,.379,.690,1.000,.034,3,.172,.400,0,0,,casspom01
327,Omri Casspi,28,NOP,PF,1,0,24,.556,12.3,.556,.444,.111,.000,.000,.444,.600,.500,1.000,,,.500,.667,1.000,.111,1,.250,.000,0,0,,casspom01
327,Omri Casspi,28,MIN,PF,13,0,222,.500,9.2,.737,.368,.368,.026,.000,.263,.607,.714,.500,.000,,.200,.824,1.000,.053,2,.300,.333,0,0,,casspom01
328,Darrell Arthur,28,DEN,PF,41,7,639,.442,18.8,.456,.140,.033,.079,.205,.544,.429,.600,.000,.471,.364,.453,.786,.981,.023,5,.231,.481,0,0,,arthuda01
329,Jakob Poeltl,21,TOR,C,54,4,626,.583,2.6,1.000,.722,.235,.035,.009,.000,.583,.614,.519,.500,.000,,.687,,.096,10,,,0,0,,poeltja01
330,Justise Winslow,20,MIA,SF,18,15,625,.356,10.6,.844,.320,.258,.062,.204,.156,.384,.472,.379,.214,.304,.200,.397,1.000,.040,7,.600,.286,0,0,,winslju01
331,Skal Labissière,20,SAC,PF,33,12,612,.537,8.9,.963,.289,.275,.220,.174,.037,.543,.683,.400,.521,.579,.375,.605,1.000,.147,30,.000,,0,0,,labissk01
332,Ivica Zubac,19,LAL,C,38,11,609,.529,6.2,.987,.403,.399,.092,.088,.013,.536,.615,.474,.455,.571,.000,.802,,.101,20,.000,,1,0,,zubaciv01
