,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
46,Serge Ibaka,27,ORL,PF,56,56,1710,.488,14.5,.696,.171,.189,.168,.168,.304,.532,.725,.496,.449,.458,.388,.673,.976,.048,32,.061,.231,0,0,,ibakase01
46,Serge Ibaka,27,TOR,PF,23,23,712,.459,16.4,.631,.082,.190,.201,.158,.369,.494,.739,.358,.500,.523,.398,.644,1.000,.011,3,.049,.000,0,0,,ibakase01
47,Elfrid Payton,22,ORL,PG,82,58,2412,.471,9.2,.840,.424,.219,.088,.106,.160,.509,.610,.430,.363,.402,.274,.133,.900,.018,16,.253,.324,2,0,,paytoel01
48,Andre Drummond,23,DET,C,81,81,2409,.530,4.4,.992,.494,.420,.070,.004,.008,.532,.684,.381,.406,.000,.286,.603,.000,.147,118,.000,,4,1,,drumman01
49,Marcus Smart,22,BOS,SG,79,24,2399,.359,15.7,.557,.224,.179,.077,.076,.443,.420,.488,.396,.362,.333,.283,.417,.904,.013,9,.223,.419,9,0,,smartma01
50,Jordan Clarkson,24,LAL,SG,82,19,2397,.445,13.5,.668,.246,.205,.109,.106,.332,.503,.627,.445,.419,.425,.329,.253,.778,.020,18,.160,.281,1,0,,clarkjo01
51,Steven Adams,23,OKC,C,80,80,2389,.571,3.7,.998,.557,.388,.046,.005,.002,.572,.655,.488,.367,.000,.000,.668,,.198,112,.000,,1,0,,adamsst01
52,Andre Roberson,25,OKC,SF,79,79,2376,.464,10.9,.603,.518,.069,.004,.013,.397,.609,.667,.250,.000,.333,.245,.765,.978,.140,59,.451,.229,1,0,DPOY-5DEF2,roberan03
53,Solomon Hill,25,NOP,SF,80,71,2374,.383,16.3,.435,.276,.077,.048,.029,.565,.428,.523,.270,.304,.214,.348,.348,1.000,.044,17,.341,.370,2,0,,hillso01
54,Markieff Morris,27,WAS,PF,76,76,2374,.457,11.9,.780,.287,.181,.154,.157,.220,.483,.612,.422,.401,.400,.362,.597,.972,.083,65,.332,.323,0,0,,morrima02
55,Michael Kidd-Gilchrist,23,CHO,SF,81,81,2349,.477,8.2,.985,.474,.129,.121,.259,.015,.483,.621,.263,.467,.350,.111,.707,1.000,.065,39,.444,.000,2,0,,kiddgmi01
56,Paul Millsap,31,ATL,PF,69,67,2343,.442,12.2,.752,.254,.216,.184,.098,.248,.486,.611,.395,.475,.379,.311,.558,.947,.017,15,.166,.450,1,0,AS,millspa01
57,Tony Snell,25,MIL,SG,80,80,2336,.455,19.0,.344,.170,.048,.052,.078,.656,.548,.685,.308,.464,.429,.406,.657,.993,.039,19,.386,.394,0,0,,snellto01
58,Tristan Thompson,25,CLE,C,78,78,2336,.600,3.0,.993,.686,.263,.034,.009,.007,.604,.677,.435,.467,.500,.000,.710,,.293,122,.000,,1,0,,thomptr01
59,LaMarcus Aldridge,31,SAS,PF,72,72,2335,.477,11.8,.947,.222,.194,.202,.328,.053,.480,.700,.422,.387,.424,.411,.577,.957,.041,37,.411,.435,0,0,DPOY-8,aldrila01
60,Jae Crowder,26,BOS,SF,72,72,2335,.463,17.9,.453,.213,.039,.038,.164,.547,.540,.739,.321,.444,.356,.398,.761,.930,.018,13,.228,.478,1,0,,crowdja01
61,Eric Gordon,28,HOU,SG,75,15,2323,.406,18.7,.349,.194,.094,.015,.044,.651,.468,.574,.365,.200,.333,.372,.446,.841,.007,6,.130,.372,2,0,6MOY-1,gordoer01
62,Aaron Gordon,21,ORL,SF,80,72,2298,.454,12.7,.691,.361,.092,.106,.131,.309,.528,.683,.325,.446,.319,.288,.503,.844,.123,99,.255,.265,3,0,,gordoaa01
63,Marvin Williams,30,CHO,PF,76,76,2295,.422,15.7,.497,.230,.143,.070,.055,.503,.494,.611,.416,.367,.359,.350,.717,.976,.020,14,.246,.368,1,1,,willima02
64,Mike Conley,29,MEM,PG,69,68,2292,.460,16.2,.585,.199,.135,.083,.167,.415,.497,.607,.471,.405,.432,.408,.266,.561,.001,1,.115,.438,9,0,,conlemi01
65,Brandon Ingram,19,LAL,SF,79,40,2279,.402,12.9,.727,.278,.141,.150,.159,.273,.443,.607,.289,.330,.394,.294,.362,.982,.047,30,.412,.364,1,0,,ingrabr01
66,Robin Lopez,28,CHI,C,81,81,2271,.493,8.8,.997,.312,.324,.094,.267,.003,.494,.566,.474,.452,.449,.000,.681,,.040,26,.500,.000,0,0,,lopezro01
67,Allen Crabbe,24,POR,SG,79,7,2254,.468,17.7,.533,.153,.088,.070,.224,.467,.490,.646,.404,.467,.421,.444,.775,.970,.005,3,.268,.420,0,0,,crabbal01
68,Kyle Lowry,30,TOR,PG,60,60,2244,.464,16.4,.490,.194,.167,.059,.071,.510,.518,.680,.399,.463,.400,.412,.142,.523,.000,0,.083,.308,1,0,AS,lowryky01
69,Thaddeus Young,28,IND,PF,74,74,2237,.527,8.3,.828,.438,.281,.044,.067,.172,.557,.651,.482,.400,.348,.381,.729,.978,.061,36,.492,.345,1,0,,youngth01
70,P.J. Tucker,31,2TM,SF,81,21,2236,.413,13.8,.593,.299,.160,.071,.062,.407,.451,.507,.377,.412,.433,.357,.457,.986,.015,7,.770,.391,1,0,,tuckepj01
70,P.J. Tucker,31,PHO,SF,57,17,1627,.415,12.8,.616,.319,.155,.079,.059,.384,.463,.522,.364,.464,.429,.338,.436,.978,.020,7,.787,.364,1,0,,tuckepj01
70,P.J. Tucker,31,TOR,SF,24,4,609,.406,14.7,.531,.242,.172,.047,.070,.469,.412,.452,.409,.167,.444,.400,.536,1.000,.000,0,.733,.455,0,0,,tuckepj01
71,Evan Fournier,24,ORL,SG,68,66,2234,.439,14.2,.613,.276,.166,.065,.105,.387,.491,.591,.416,.450,.378,.356,.457,.875,.011,10,.172,.387,2,0,,fournev01
72,Maurice Harkless,23,POR,SF,77,69,2223,.503,9.9,.689,.522,.112,.014,.042,.311,.572,.613,.457,.444,.385,.351,.626,1.000,.119,69,.459,.303,1,0,,harklma01
73,Brook Lopez,28,BRK,C,75,75,2222,.474,12.6,.670,.229,.298,.108,.037,.330,.536,.675,.479,.468,.326,.346,.504,.985,.049,55,.137,.415,0,0,,lopezbr01
74,Victor Oladipo,24,OKC,SG,67,67,2222,.442,14.5,.622,.265,.092,.118,.144,.378,.491,.607,.349,.418,.440,.361,.428,.882,.041,36,.307,.435,2,0,,oladivi01
75,Dwight Howard,31,ATL,C,74,74,2199,.633,2.9,.997,.757,.175,.029,.038,.003,.635,.735,.327,.333,.261,.000,.657,,.346,199,1.000,.000,0,0,,howardw01
76,JJ Redick,32,LAC,SG,78,78,2198,.445,20.3,.474,.076,.056,.049,.293,.526,.462,.559,.480,.341,.452,.429,.815,.955,.000,0,.143,.478,0,0,,redicjj01
77,Wilson Chandler,29,DEN,SF,71,33,2197,.461,13.5,.653,.266,.190,.093,.104,.347,.527,.680,.433,.391,.429,.337,.495,.918,.051,46,.248,.284,1,0,,chandwi01
78,Al Horford,30,BOS,C,68,68,2193,.473,13.4,.698,.213,.220,.127,.136,.302,.524,.708,.472,.392,.450,.355,.590,.977,.052,41,.157,.368,0,0,,horfoal01
79,Jrue Holiday,26,NOP,PG,67,61,2190,.454,13.4,.685,.292,.158,.095,.140,.315,.498,.598,.461,.506,.328,.356,.230,.480,.020,16,.132,.378,1,0,,holidjr01
80,Nik Stauskas,23,PHI,SG,80,27,2188,.396,17.2,.434,.241,.062,.057,.073,.566,.433,.536,.205,.472,.261,.368,.487,.818,.027,16,.189,.485,1,0,,stausni01
